Exercise,Counter,Timestamp,Acc_X1,Acc_Y1,Acc_Z1,Acc_X2,Acc_Y2,Acc_Z2,Rotspeed_X,Rotspeed_Y,Rotspeed_Z
1.0,71.0,3.653,-0.24139507672037,-0.527529363179139,-0.537362156528237,-1.07127986545866,-1.1939288446565,-0.267032699465132,-30.06,-25.88,-21.06
1.0,72.0,3.707,0.474152577261401,-0.877778806496409,0.0936390149069213,-1.35518657646205,-1.18481195455683,0.289207202917827,-30.81,-22.38,-17.25
1.0,73.0,3.759,0.0294682561276059,-0.393636622446349,-0.368710888245723,-0.706281761081141,-1.09952752709681,0.0707038572190397,-27.81,-22.06,-8.44
1.0,74.0,3.812,0.154928573227562,-0.80089883994829,-0.354689177395197,-1.08518566813576,-1.37472342235177,0.289950958148695,-23.32,-1.44,-3.56
1.0,75.0,3.866,0.0133753129364048,0.011696254939968,0.0513846927219418,-1.13089875259996,-1.97919632360439,0.0811324406397443,-12.75,-0.75,-0.12
1.0,76.0,3.918,-0.404805568032741,0.170162947364876,-0.00396188468835568,-0.592059973451998,-2.49852785582246,0.147525498561892,3.81,5.94,4.75
1.0,77.0,3.971,-0.441403477841427,0.190715224185721,0.179374329265303,-0.787854949011437,-1.75735474766766,-0.098803145747314,14.13,6.88,10.81
1.0,78.0,4.025,-0.301699344683574,-0.110648758956367,-0.151558861842034,-0.462595558751569,-1.33590427919166,0.0375158097869139,26.94,14.76,15.5
1.0,79.0,4.08,0.125544777845123,-0.000886486875308528,0.0615718324114292,-0.755313951539191,-0.793992740460535,-0.218925897229089,34.82,6.81,12.88
1.0,80.0,4.137,-0.0933607451960643,0.0670791954447745,0.0827289814595069,-0.534171805192807,-0.907451098634357,-0.265957664245751,35.31,8.69,11.69
1.0,81.0,4.193,0.481631865302625,0.329352669553912,0.324239413257133,0.141257188981939,-0.175938774068119,-0.143026543338935,36.88,11.87,11.87
1.0,82.0,4.246,-0.493461146166742,-0.0502410104531999,-0.0311850885815678,-0.057123424652543,-0.873498536490573,-0.46854163208628,48.19,18.12,12.56
1.0,83.0,4.3,-0.147184016172413,0.0808719712010602,0.0425902603998235,-0.237943874307511,-0.705797698804692,-0.0788023165645543,50.56,21.5,11.32
1.0,84.0,4.355,-0.679067035584163,-0.0702244061011043,0.0410055065244812,-0.514223265356921,-0.589606123552915,-0.10565657451536,49.44,13.37,11.82
1.0,85.0,4.408,-0.633505361668072,0.0720072542108644,0.270101488628648,-0.223472344512927,-0.635363803730089,-0.779546946289922,62.94,28.75,25.25
1.0,86.0,4.459,-0.119530597129296,-0.256172315701184,-0.152796254757948,-0.779930595903685,-0.494330257243285,-0.429909757178586,58.56,27.57,39.0
1.0,87.0,4.513,-0.30727579465114,-0.18296796773229,-0.239189050378934,-0.179859576853676,-0.0664880780010047,-0.234836991345631,59.06,13.06,54.88
1.0,88.0,4.567,-0.312658347739475,0.129090722704972,0.250728592522843,0.0320453789361015,-0.0241076808669274,-0.584124991263286,60.75,29.37,65.69
1.0,89.0,4.622,0.37508415955786,-0.871422738445574,-0.38437998606114,0.111059144106206,0.287196483393527,0.595983227742823,63.19,12.06,69.69
1.0,90.0,4.678,-0.661124651106074,-0.500874898899672,-0.560442483558213,0.907330023870329,0.408199775684944,-0.122252844266471,65.0,24.44,70.13
1.0,91.0,4.735,1.10749658647095,-0.0738752398693754,0.40233757774199,-0.363916757881499,0.634302293273412,0.870507127162646,62.5,15.69,65.19
1.0,92.0,4.79,-0.077160246898567,-0.556958307509541,-0.137750597458548,0.931984064022896,0.561465544300933,0.952408242429523,51.69,18.12,60.81
1.0,93.0,4.846,0.189491829290301,-0.0922933704387066,0.125810488447797,0.16103176390702,0.345463213131915,0.454155568489396,53.19,18.87,40.5
1.0,94.0,4.9,-0.201787613631613,-0.413134626782133,-0.189281242507971,0.015805703495269,0.0406006024074092,-0.207527454351779,41.0,22.0,35.69
1.0,95.0,4.955,0.0797274019149936,0.433806230040335,0.316450125220935,0.873933542059022,0.120103016047994,0.201797342616894,38.69,3.44,28.19
1.0,96.0,5.007,-0.0463506894421709,0.102751795656602,0.163464296661324,0.174343267165133,0.0451152541169557,0.542913745525294,40.19,-4.0,27.56
1.0,97.0,5.059,-0.111767870964919,0.0578552801927297,0.122611741692884,-0.324914043330876,0.130788171628451,0.0888501338179642,34.63,3.88,15.94
1.0,98.0,5.111,-0.841811560198803,-0.0173326153220555,-0.0234863807846426,-0.1126945532579,0.285454208260298,-0.467220496660822,38.0,-4.5,12.0
1.0,99.0,5.162,-0.185500199977282,0.530512512279225,0.415435859112859,0.657554462672795,0.299054283624802,0.211074239518575,41.51,-11.06,22.57
1.0,100.0,5.213,0.347775916401336,-0.84518531199325,-0.303318109722298,-0.862937578886401,-0.234530903835458,0.593939782017006,25.44,1.75,21.44
1.0,101.0,5.265,0.905532141565538,0.0449095029958204,0.133291751729838,0.50499613733362,-0.159818700933935,0.583058584477006,22.19,-7.19,11.5
1.0,102.0,5.319,-0.0168720673326761,-0.00132685793054868,0.122633533505043,0.314627274266091,-0.0722740024737133,0.351470113753982,15.69,-2.25,5.07
1.0,103.0,5.373,1.02062900103498,-0.345562806099243,0.228763011185503,0.179797603812837,-0.254179936652095,0.439224225513005,4.0,4.0,7.57
1.0,104.0,5.426,0.0493927909056082,0.140589463235646,-0.0847775558906472,0.269011483664194,0.0854908175727406,-0.0998043733112928,6.94,-4.75,6.19
1.0,105.0,5.478,0.10848601688379,-0.263419698662099,-0.0489641944634069,-0.190434611665777,-0.21842311052762,0.649869411538428,9.63,-7.19,2.62
1.0,106.0,5.536,0.171471999538846,-0.369998657981966,-0.0788558472488571,0.180196214285058,-0.191403845785742,0.367361029922049,-4.25,-0.12,-0.38
1.0,107.0,5.59,-0.166897027424156,-0.0916311668884162,-0.0775818541546075,0.0291754538018354,0.0128587286851144,0.363348620955475,-8.44,5.56,-3.56
1.0,108.0,5.646,0.255386464428914,-0.306037520118966,0.0540719630727597,-0.241764992310372,0.0810781877474642,0.389220759915325,-17.87,6.38,-7.44
1.0,109.0,5.698,0.728930046980155,-0.168736461649293,0.0691971504042264,-0.362289701075196,0.198750110759911,0.720050730746658,-28.88,2.0,-15.81
1.0,110.0,5.753,0.10401447801948,-0.105106022090089,0.273231442990864,0.638085934827075,0.659650306060149,-0.230432451443513,-27.07,3.69,-34.0
1.0,111.0,5.807,0.867454831315534,0.180012014444978,0.629063240790297,0.534238821592368,-0.135043858116765,0.35234788347187,-46.75,-14.94,-21.13
